Timestamp,Who are you? ,Pitch Perfect,Hoop Dreams,The Little Mermaid,Meet the Parents,Sound of Music,The Godfather,Sex in the City,When Harry Met Sally,Deadpool,The Lives of Others,Pulp Fiction,Good Will Hunting,Batman Begins,Drumline,Wall-E,Spirited Away,Jiro Dreams of Sushi,Casablanca,Goonies,The Departed,Close Encounters,Bull Durham,10 Things I Hate about You,Titanic,Avatar,Lord of the Rings: Fellowship of the Rings,Jaws,Lawrence of Arabia,The Graduate,Inside Out,Dr. Strangelove,Annie Hall,40 year old Virgin,Crash,Napoleon Dynamite,La La Land,Happy Gilmore,Vertigo,Forrest Gump,Clueless,Ferris Bueller's Day Off,Bridesmaids,Napoleon Dynamite,The Notebook,Dirty Dancing,One Flew Over the Cuckoo's Nest,Gravity,All About My Mother,Rocky,Anchorman
2016/12/29 8:42:43 am GMT-5,Jeremy,4,5,2,1,5,5,1,4,4,4,4,5,3,1,5,5,4,5,2,3,4,4,1,3,3,4,4,4,5,5,4,4,4,3,2,2,3,4,3,2,3,4,2,1,2,4,5,4,5,1
2016/12/29 11:12:29 am GMT-5,Leigh Ann,3,,4,1,4,3,1,4,2,,4,3,5,,5,4,,3,4,2,3,,4,4,5,4,3,,3,5,3,4,4,2,4,5,3,3,4,4,5,5,4,3,4,,3,,2,4
2016/12/29 12:55:51 pm GMT-5,Ha,,3,4,3,4,5,2,5,,,5,5,5,3,4,,3,,4,5,,3,3,4,2,4,3,,5,5,,,4,5,4,3,4,,5,4,4,4,,,3,4,4,,4,4
2016/12/29 2:42:29 pm GMT-5,Namps!,5,3,4,3,4,5,3,5,5,3,4,4,4,4,3,,,,2,4,,3,3,3,,4,,,,,,,3,4,2,5,4,,4,4,3,4,2,2,3,,5,4,,3
2016/12/29 3:23:12 pm GMT-5,Dubs,5,5,3,2,5,5,1,4,5,,5,4,4,5,,,5,4,3,4,,4,3,3,,,4,,3,5,,,2,4,3,,2,,3,5,3,1,3,,5,,,,,3
2016/12/29 3:49:02 pm GMT-5,Sasha,2,,3,3,4,4,,5,3,4,4,3,3,,5,5,,5,,3,4,4,,,2,4,4,4,5,5,4,5,3,,3,4,3,4,3,4,3,5,3,,,3,3,4,4,4
2016/12/29 3:50:38 pm GMT-5,Jon,5,4,3,1,2,5,2,5,4,,5,4,4,2,4,5,,5,3,4,3,5,,3,1,4,3,4,5,,4,5,3,3,4,4,2,5,3,1,3,4,4,,4,,4,,4,2
2016/12/29 4:22:44 pm GMT-5,Alexa,4,,3,3,4,,,,4,5,,5,,1,3,4,,3,2,,,,3,3,,5,,,,3,,,4,2,3,1,4,,3,2,4,4,3,,,,4,,,
2016/12/29 4:36:05 pm GMT-5,Bill K,,4,1,2,5,5,,2,,5,4,4,2,3,,,,5,2,,3,4,,3,5,3,4,5,4,,3,1,3,,2,,2,4,3,3,5,,2,3,3,5,3,,4,
2016/12/29 5:09:46 pm GMT-5,Ben,,4,3,3,4,5,1,4,,5,5,5,4,,5,4,3,5,3,4,4,4,2,4,4,5,5,4,4,4,4,4,4,4,2,,3,5,4,4,4,3,2,3,3,4,5,4,4,2
